"TIME","GEO","CITIZEN","SEX","AGE","DECISION","UNIT","Value","Flag and Footnotes"
"2008","Italy","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person",":",""
"2008","Italy","Extra-EU28 (current composition)","Total","Total","Rejected","Person","30",""
"2008","Italy","Total","Total","Total","Total","Person","30",""
"2008","Italy","Total","Total","Total","Total positive decisions","Person","0",""
"2008","Italy","Total","Total","Total","Geneva Convention status","Person","0",""
"2008","Italy","Total","Total","Total","Humanitarian status","Person",":",""
"2008","Italy","Total","Total","Total","Rejected","Person","30",""
"2008","Cyprus","Extra-EU28 (current composition)","Total","Total","Total","Person","2,845",""
"2008","Cyprus","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","35",""
"2008","Cyprus","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","10",""
"2008","Cyprus","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person","20",""
"2008","Cyprus","Extra-EU28 (current composition)","Total","Total","Rejected","Person","2,810",""
"2008","Cyprus","Total","Total","Total","Total","Person","2,845",""
"2008","Cyprus","Total","Total","Total","Total positive decisions","Person","35",""
"2008","Cyprus","Total","Total","Total","Geneva Convention status","Person","10",""
"2008","Cyprus","Total","Total","Total","Humanitarian status","Person","20",""
"2008","Cyprus","Total","Total","Total","Rejected","Person","2,810",""
"2008","Latvia","Extra-EU28 (current composition)","Total","Total","Total","Person","15",""
"2008","Latvia","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","0",""
"2008","Latvia","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","0",""
"2008","Latvia","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person",":",""
"2008","Latvia","Extra-EU28 (current composition)","Total","Total","Rejected","Person","15",""
"2008","Latvia","Total","Total","Total","Total","Person","15",""
"2008","Latvia","Total","Total","Total","Total positive decisions","Person","0",""
"2008","Latvia","Total","Total","Total","Geneva Convention status","Person","0",""
"2008","Latvia","Total","Total","Total","Humanitarian status","Person",":",""
"2008","Latvia","Total","Total","Total","Rejected","Person","15",""
"2008","Lithuania","Extra-EU28 (current composition)","Total","Total","Total","Person","35",""
"2008","Lithuania","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","0",""
"2008","Lithuania","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","0",""
"2008","Lithuania","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person",":",""
"2008","Lithuania","Extra-EU28 (current composition)","Total","Total","Rejected","Person","35",""
"2008","Lithuania","Total","Total","Total","Total","Person","35",""
"2008","Lithuania","Total","Total","Total","Total positive decisions","Person","0",""
"2008","Lithuania","Total","Total","Total","Geneva Convention status","Person","0",""
"2008","Lithuania","Total","Total","Total","Humanitarian status","Person",":",""
"2008","Lithuania","Total","Total","Total","Rejected","Person","35",""
"2008","Luxembourg","Extra-EU28 (current composition)","Total","Total","Total","Person","480",""
"2008","Luxembourg","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","55",""
"2008","Luxembourg","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","55",""
"2008","Luxembourg","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person","0",""
"2008","Luxembourg","Extra-EU28 (current composition)","Total","Total","Rejected","Person","425",""
"2008","Luxembourg","Total","Total","Total","Total","Person","480",""
"2008","Luxembourg","Total","Total","Total","Total positive decisions","Person","55",""
"2008","Luxembourg","Total","Total","Total","Geneva Convention status","Person","55",""
"2008","Luxembourg","Total","Total","Total","Humanitarian status","Person","0",""
"2008","Luxembourg","Total","Total","Total","Rejected","Person","425",""
"2008","Hungary","Extra-EU28 (current composition)","Total","Total","Total","Person","55",""
"2008","Hungary","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","0",""
"2008","Hungary","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","0",""
"2008","Hungary","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person","0",""
"2008","Hungary","Extra-EU28 (current composition)","Total","Total","Rejected","Person","55",""
"2008","Hungary","Total","Total","Total","Total","Person","55",""
"2008","Hungary","Total","Total","Total","Total positive decisions","Person","0",""
"2008","Hungary","Total","Total","Total","Geneva Convention status","Person","0",""
"2008","Hungary","Total","Total","Total","Humanitarian status","Person","0",""
"2008","Hungary","Total","Total","Total","Rejected","Person","55",""
"2008","Malta","Extra-EU28 (current composition)","Total","Total","Total","Person","225",""
"2008","Malta","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","0",""
"2008","Malta","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","0",""
"2008","Malta","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person","0",""
"2008","Malta","Extra-EU28 (current composition)","Total","Total","Rejected","Person","225",""
"2008","Malta","Total","Total","Total","Total","Person","230",""
"2008","Malta","Total","Total","Total","Total positive decisions","Person","0",""
"2008","Malta","Total","Total","Total","Geneva Convention status","Person","0",""
"2008","Malta","Total","Total","Total","Humanitarian status","Person","0",""
"2008","Malta","Total","Total","Total","Rejected","Person","225",""
"2008","Netherlands","Extra-EU28 (current composition)","Total","Total","Total","Person","800",""
"2008","Netherlands","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","415",""
"2008","Netherlands","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","75",""
"2008","Netherlands","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person","175",""
"2008","Netherlands","Extra-EU28 (current composition)","Total","Total","Rejected","Person","390",""
"2008","Netherlands","Total","Total","Total","Total","Person","800",""
"2008","Netherlands","Total","Total","Total","Total positive decisions","Person","415",""
"2008","Netherlands","Total","Total","Total","Geneva Convention status","Person","75",""
"2008","Netherlands","Total","Total","Total","Humanitarian status","Person","175",""
"2008","Netherlands","Total","Total","Total","Rejected","Person","390",""
"2008","Austria","Extra-EU28 (current composition)","Total","Total","Total","Person","9,245",""
"2008","Austria","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","2,195",""
"2008","Austria","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","1,705",""
"2008","Austria","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person",":",""
"2008","Austria","Extra-EU28 (current composition)","Total","Total","Rejected","Person","7,050",""
"2008","Austria","Total","Total","Total","Total","Person","9,310",""
"2008","Austria","Total","Total","Total","Total positive decisions","Person","2,230",""
"2008","Austria","Total","Total","Total","Geneva Convention status","Person","1,740",""
"2008","Austria","Total","Total","Total","Humanitarian status","Person",":",""
"2008","Austria","Total","Total","Total","Rejected","Person","7,080",""
"2008","Poland","Extra-EU28 (current composition)","Total","Total","Total","Person","185",""
"2008","Poland","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","30",""
"2008","Poland","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","5",""
"2008","Poland","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person","20",""
"2008","Poland","Extra-EU28 (current composition)","Total","Total","Rejected","Person","155",""
"2008","Poland","Total","Total","Total","Total","Person","185",""
"2008","Poland","Total","Total","Total","Total positive decisions","Person","30",""
"2008","Poland","Total","Total","Total","Geneva Convention status","Person","5",""
"2008","Poland","Total","Total","Total","Humanitarian status","Person","20",""
"2008","Poland","Total","Total","Total","Rejected","Person","155",""
"2008","Portugal","Extra-EU28 (current composition)","Total","Total","Total","Person","0",""
"2008","Portugal","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","0",""
"2008","Portugal","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","0",""
"2008","Portugal","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person",":",""
"2008","Portugal","Extra-EU28 (current composition)","Total","Total","Rejected","Person","0",""
"2008","Portugal","Total","Total","Total","Total","Person","0",""
"2008","Portugal","Total","Total","Total","Total positive decisions","Person","0",""
"2008","Portugal","Total","Total","Total","Geneva Convention status","Person","0",""
"2008","Portugal","Total","Total","Total","Humanitarian status","Person",":",""
"2008","Portugal","Total","Total","Total","Rejected","Person","0",""
"2008","Romania","Extra-EU28 (current composition)","Total","Total","Total","Person","235",""
"2008","Romania","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","45",""
"2008","Romania","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","15",""
"2008","Romania","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person","0",""
"2008","Romania","Extra-EU28 (current composition)","Total","Total","Rejected","Person","190",""
"2008","Romania","Total","Total","Total","Total","Person","235",""
"2008","Romania","Total","Total","Total","Total positive decisions","Person","45",""
"2008","Romania","Total","Total","Total","Geneva Convention status","Person","15",""
"2008","Romania","Total","Total","Total","Humanitarian status","Person","0",""
"2008","Romania","Total","Total","Total","Rejected","Person","190",""
"2008","Slovenia","Extra-EU28 (current composition)","Total","Total","Total","Person","100",""
"2008","Slovenia","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","0",""
"2008","Slovenia","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","0",""
"2008","Slovenia","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person",":",""
"2008","Slovenia","Extra-EU28 (current composition)","Total","Total","Rejected","Person","100",""
"2008","Slovenia","Total","Total","Total","Total","Person","100",""
"2008","Slovenia","Total","Total","Total","Total positive decisions","Person","0",""
"2008","Slovenia","Total","Total","Total","Geneva Convention status","Person","0",""
"2008","Slovenia","Total","Total","Total","Humanitarian status","Person",":",""
"2008","Slovenia","Total","Total","Total","Rejected","Person","100",""
"2008","Slovakia","Extra-EU28 (current composition)","Total","Total","Total","Person","70",""
"2008","Slovakia","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","10",""
"2008","Slovakia","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","0",""
"2008","Slovakia","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person","0",""
"2008","Slovakia","Extra-EU28 (current composition)","Total","Total","Rejected","Person","65",""
"2008","Slovakia","Total","Total","Total","Total","Person","70",""
"2008","Slovakia","Total","Total","Total","Total positive decisions","Person","10",""
"2008","Slovakia","Total","Total","Total","Geneva Convention status","Person","0",""
"2008","Slovakia","Total","Total","Total","Humanitarian status","Person","0",""
"2008","Slovakia","Total","Total","Total","Rejected","Person","65",""
"2008","Finland","Extra-EU28 (current composition)","Total","Total","Total","Person","90",""
"2008","Finland","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","80",""
"2008","Finland","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","0",""
"2008","Finland","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person","20",""
"2008","Finland","Extra-EU28 (current composition)","Total","Total","Rejected","Person","10",""
"2008","Finland","Total","Total","Total","Total","Person","95",""
"2008","Finland","Total","Total","Total","Total positive decisions","Person","80",""
"2008","Finland","Total","Total","Total","Geneva Convention status","Person","0",""
"2008","Finland","Total","Total","Total","Humanitarian status","Person","25",""
"2008","Finland","Total","Total","Total","Rejected","Person","10",""
"2008","Sweden","Extra-EU28 (current composition)","Total","Total","Total","Person","11,065",""
"2008","Sweden","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","815",""
"2008","Sweden","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","210",""
"2008","Sweden","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person","215",""
"2008","Sweden","Extra-EU28 (current composition)","Total","Total","Rejected","Person","10,245",""
"2008","Sweden","Total","Total","Total","Total","Person","11,130",""
"2008","Sweden","Total","Total","Total","Total positive decisions","Person","825",""
"2008","Sweden","Total","Total","Total","Geneva Convention status","Person","210",""
"2008","Sweden","Total","Total","Total","Humanitarian status","Person","225",""
"2008","Sweden","Total","Total","Total","Rejected","Person","10,305",""
"2008","United Kingdom","Extra-EU28 (current composition)","Total","Total","Total","Person","13,955",""
"2008","United Kingdom","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","5,025",""
"2008","United Kingdom","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","4,170",""
"2008","United Kingdom","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person","610",""
"2008","United Kingdom","Extra-EU28 (current composition)","Total","Total","Rejected","Person","8,930",""
"2008","United Kingdom","Total","Total","Total","Total","Person","13,975",""
"2008","United Kingdom","Total","Total","Total","Total positive decisions","Person","5,025",""
"2008","United Kingdom","Total","Total","Total","Geneva Convention status","Person","4,170",""
"2008","United Kingdom","Total","Total","Total","Humanitarian status","Person","615",""
"2008","United Kingdom","Total","Total","Total","Rejected","Person","8,950",""
"2008","Iceland","Extra-EU28 (current composition)","Total","Total","Total","Person","10",""
"2008","Iceland","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","0",""
"2008","Iceland","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","0",""
"2008","Iceland","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person","0",""
"2008","Iceland","Extra-EU28 (current composition)","Total","Total","Rejected","Person","10",""
"2008","Iceland","Total","Total","Total","Total","Person","10",""
"2008","Iceland","Total","Total","Total","Total positive decisions","Person","0",""
"2008","Iceland","Total","Total","Total","Geneva Convention status","Person","0",""
"2008","Iceland","Total","Total","Total","Humanitarian status","Person","0",""
"2008","Iceland","Total","Total","Total","Rejected","Person","10",""
"2008","Liechtenstein","Extra-EU28 (current composition)","Total","Total","Total","Person","0",""
"2008","Liechtenstein","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","0",""
"2008","Liechtenstein","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","0",""
"2008","Liechtenstein","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person","0",""
"2008","Liechtenstein","Extra-EU28 (current composition)","Total","Total","Rejected","Person",":",""
"2008","Liechtenstein","Total","Total","Total","Total","Person","0","d"
"2008","Liechtenstein","Total","Total","Total","Total positive decisions","Person","0","d"
"2008","Liechtenstein","Total","Total","Total","Geneva Convention status","Person","0",""
"2008","Liechtenstein","Total","Total","Total","Humanitarian status","Person","0",""
"2008","Liechtenstein","Total","Total","Total","Rejected","Person",":",""
"2008","Norway","Extra-EU28 (current composition)","Total","Total","Total","Person","4,440",""
"2008","Norway","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","660",""
"2008","Norway","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","35",""
"2008","Norway","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person","575",""
"2008","Norway","Extra-EU28 (current composition)","Total","Total","Rejected","Person","3,785",""
"2008","Norway","Total","Total","Total","Total","Person","4,480",""
"2008","Norway","Total","Total","Total","Total positive decisions","Person","665",""
"2008","Norway","Total","Total","Total","Geneva Convention status","Person","35",""
"2008","Norway","Total","Total","Total","Humanitarian status","Person","580",""
"2008","Norway","Total","Total","Total","Rejected","Person","3,815",""
"2008","Switzerland","Extra-EU28 (current composition)","Total","Total","Total","Person","6,035",""
"2008","Switzerland","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","730",""
"2008","Switzerland","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","170",""
"2008","Switzerland","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person","505",""
"2008","Switzerland","Extra-EU28 (current composition)","Total","Total","Rejected","Person","5,305",""
"2008","Switzerland","Total","Total","Total","Total","Person","6,095",""
"2008","Switzerland","Total","Total","Total","Total positive decisions","Person","735",""
"2008","Switzerland","Total","Total","Total","Geneva Convention status","Person","170",""
"2008","Switzerland","Total","Total","Total","Humanitarian status","Person","510",""
"2008","Switzerland","Total","Total","Total","Rejected","Person","5,360",""
"2008","Total","Extra-EU28 (current composition)","Total","Total","Total","Person","97,260","d"
"2008","Total","Extra-EU28 (current composition)","Total","Total","Total positive decisions","Person","20,475","d"
"2008","Total","Extra-EU28 (current composition)","Total","Total","Geneva Convention status","Person","14,345","d"
"2008","Total","Extra-EU28 (current composition)","Total","Total","Humanitarian status","Person","3,165","d"
"2008","Total","Extra-EU28 (current composition)","Total","Total","Rejected","Person","76,785","d"
"2008","Total","Total","Total","Total","Total","Person","97,755","d"
"2008","Total","Total","Total","Total","Total positive decisions","Person","20,545","d"
"2008","Total","Total","Total","Total","Geneva Convention status","Person","14,395","d"
"2008","Total","Total","Total","Total","Humanitarian status","Person","3,190","d"
"2008","Total","Total","Total","Total","Rejected","Person","77,215","d"
